Date,Total_Demand
2016-08-03,94000.0
2016-08-04,37000.0
2016-08-05,20200.0
2016-08-08,82000.0
2016-08-09,1500.0
2016-08-10,138200.0
2016-08-15,1000.0
2016-08-16,22100.0
2016-08-17,7600.0
2016-08-18,100500.0
2016-08-19,143000.0
2016-08-22,133500.0
2016-08-23,63000.0
2016-08-24,38800.0
2016-08-25,61000.0
2016-08-26,17100.0
2016-08-29,49500.0
2016-08-30,102100.0
2016-08-31,87700.0
2016-09-01,40500.0
2016-09-02,122000.0
2016-09-05,67000.0
2016-09-06,17400.0
2016-09-07,3400.0
2016-09-08,58000.0
2016-09-09,28300.0
2016-09-12,49000.0
2016-09-13,89300.0
2016-09-14,155500.0
2016-09-15,74800.0
2016-09-16,25500.0
2016-09-20,66000.0
2016-09-21,83600.0
2016-09-23,138400.0
2016-09-26,70000.0
2016-09-27,155000.0
2016-09-28,96200.0
2016-09-29,228000.0
2016-09-30,80100.0
2016-10-03,77500.0
2016-10-04,129800.0
2016-10-05,21500.0
2016-10-06,77000.0
2016-10-07,36900.0
2016-10-11,71000.0
